id,grupo_tcc,titulo,autor,orientador,pesquisador,ano_defesa,curso_fonte
71,Insikiran,PROPOSTA PEDAGÓGICA COLHER MILHO NA ROÇA: atividade social indígena como proposta de intervenção pedagógica no ensino/aprendizagem dos desafios da Escola Estadual Indígena Jose Antônio de Souza,VALTERLIS SOUZA DE SOUZA,Prof. Dr. Maxim Repetto Carrreno,Elcio Leocádio da Silva Júnior,2022,Insikiran – Ciências Sociais
72,Insikiran,EDUCAÇÃO PATRIMONIAL NA COMUNIDADE BARRO / SURUMU – TERRA INDÍGENA RAPOSA SERRA DO SOL,LUCIANO PERES BONIFÁCIO FILHO,Prof. Dr. Jonildo Viana dos Santos.,Elcio Leocádio da Silva Júnior,2022,Insikiran – Ciências Sociais
73,Insikiran,A MATEMÁTICA NOS ARTESANATOS DA COMUNIDADE MARUPÁ,EVILENE DA SILVA,Prof. Dr. Michael Lopes da Silva Rolim,Jelynne Ewellyn Felipe Pinto,2023,Insikiran – Ciências da Natureza
74,Insikiran,ALIMENTAÇÃO TRADICIONAL INDÍGENA NA COMUNIDADE ANTA II COMO FORMA DE VALORIZAÇÃO DA CULTURA E IDENTIDADE,MARIZA DE ALBUQUERQUE MIRANDA,Prof.ª Msc. Mariana Souza da Cunha,Jelynne Ewellyn Felipe Pinto,2023,Insikiran – Ciências da Natureza
75,Insikiran,"ARTESANATO E ETNOMÁTICA NA ESCOLA DO ANAUÁ, TERRA INDÍGENA WAI WAI - RORAIMA",XARATEW WAI WAI,Prof.a Dr.a Fabíola C. Almeida de Carvalho,Jelynne Ewellyn Felipe Pinto,2023,Insikiran – Ciências da Natureza
76,Insikiran,"CATALOGAÇÃO DOS PEIXES NA COMUNIDADE MANALAI EM RORAIMA,VALORIZANDO A CULTURA DO POVO INGARICÓ",CARLOS OLIVEIRA NICÁCIO,Mariana Cunha,Jelynne Ewellyn Felipe Pinto,2023,Insikiran – Ciências da Natureza
77,Insikiran,FIGURAS GEOMÉTRICAS NO ENSINO DA MATEMÁTICA PARA A 1a SÉRIE DO ENSINO MÉDIO DA ESCOLA ESTADUAL INDÍGENA BERNARDO SAYÃO DA COMUNIDADE MARACANÃ I,POLIANA DE SOUZA ESBELL,Prof. Me. Mariana Souza da Cunha,Jelynne Ewellyn Felipe Pinto,2023,Insikiran – Ciências da Natureza
78,Insikiran,"HISTÓRIAS EM QUADRINHOS COMO RECURSO PARA ENSINO DE MATEMÁTICA NO CONTEXTO INDÍGENA NA ESCOLA ESTADUAL INDÍGENA TOBIAS BARRETO, COMUNIDADE MANGUEIRA, AMAJARI-RR",TATIANNY GOMES LUCENA,Prof. Dr. Ricardo Carvalho dos Santos,Jelynne Ewellyn Felipe Pinto,2023,Insikiran – Ciências da Natureza
79,Insikiran,NUTRIÇÃO ESCOLAR: O PAPEL DO ENSINO DA BIOLOGIA NA CONSCIENTIZAÇÃO ALIMENTAR DOS ALUNOS NA ESCOLA ESTADUAL INDÍGENA EURICO MANDULÃO EM RORAIMA,RAIANY PEIXOTO PEREIRA NASCIMENTO,Prof.a Me. Mariana Souza da Cunha.,Jelynne Ewellyn Felipe Pinto,2023,Insikiran – Ciências da Natureza
80,Insikiran,O ENSINO DA BIOLOGIA ATRAVÉS DA NATUREZA: IDENTIFICANDO A FLORA DO AMBIENTE ESCOLAR E RESIDENCIAL DA COMUNIDADE INDÍGENA CANAVIAL EM RORAIMA,FRANCI NATU GARCIA AMBRÓSIO,Prof.a Mariana Souza da Cunha,Jelynne Ewellyn Felipe Pinto,2023,Insikiran – Ciências da Natureza
104,Insikiran,"HORTA ESCOLAR NO ENSINO DE CIÊNCIAS E EDUCAÇÃO ALIMENTAR NA ESCOLA ESTADUAL INDÍGENA JOSÉ ALAMANO, COMUNIDADE INDÍGENA MATURUCA, UIRAMUTÃ-RR",NONATO FRANK CRUZ DA SILVA,Ricardo Carvalho dos Santos,Bianca de Jesus Ramos,2022,Insikiran – Ciências da Natureza
103,Insikiran,"DADOS POPULACIONAIS DA COMUNIDADE INDÍGENA ÁGUA FRIA, UIRAMUTÃ-RR, NA CONSTRUÇÃO E INTERPRETAÇÃO DE TABELAS E GRÁFICOS",SAMILY DINORÁ PEREIRA DA SILVA,Ricardo Carvalho dos Santos,Bianca de Jesus Ramos,2022,Insikiran – Ciências da Natureza
